id_Encuesta;Identificación;Género;Tipo de Cliente;Edad;Tipo de Viaje;Clase;Distancia de Vuelo;Servicio de wifi a bordo;Hora de salida/llegada conveniente;Facilidad de reserva en línea;Ubicación de la puerta;Comida y bebida;Embarque en línea;Comodidad del asiento;Entretenimiento a bordo;Servicio a bordo;Servicio de espacio para las piernas;Manejo de equipaje;Servicio de facturación;Servicio a bordo;Limpieza;Retraso en la salida en minutos;Retraso en la llegada en minutos;Satisfacción
0;19556;Femenino;Leal Cliente;52;Negocios Viaje;Eco;160;5;4;3;4;3;4;3;5;5;5;5;2;5;5;50;44.0;satisfecho/a
1;90035;Femenino;Leal Cliente;36;Negocios Viaje;Business;2863;1;1;3;1;5;4;5;4;4;4;4;3;4;5;0;0.0;satisfecho/a
2;12360;Masculino;Desleal Cliente;20;Negocios Viaje;Eco;192;2;0;2;4;2;2;2;2;4;1;3;2;2;2;0;0.0;neutral o insatisfecho/a
3;77959;Masculino;Leal Cliente;44;Negocios Viaje;Business;3377;0;0;0;2;3;4;4;1;1;1;1;3;1;4;0;6.0;satisfecho/a
4;36875;Femenino;Leal Cliente;49;Negocios Viaje;Eco;1182;2;3;4;3;4;1;2;2;2;2;2;4;2;4;0;20.0;satisfecho/a
5;39177;Masculino;Leal Cliente;16;Negocios Viaje;Eco;311;3;3;3;3;5;5;3;5;4;3;1;1;2;5;0;0.0;satisfecho/a
6;79433;Femenino;Leal Cliente;77;Negocios Viaje;Business;3987;5;5;5;5;3;5;5;5;5;5;5;4;5;3;0;0.0;satisfecho/a
7;97286;Femenino;Leal Cliente;43;Negocios Viaje;Business;2556;2;2;2;2;4;4;5;4;4;4;4;5;4;3;77;65.0;satisfecho/a
8;27508;Masculino;Leal Cliente;47;Negocios Viaje;Eco;556;5;2;2;2;5;5;5;5;2;2;5;3;3;5;1;0.0;satisfecho/a
9;62482;Femenino;Leal Cliente;46;Negocios Viaje;Business;1744;2;2;2;2;3;4;4;4;4;4;4;5;4;4;28;14.0;satisfecho/a
10;47583;Femenino;Leal Cliente;47;Negocios Viaje;Eco;1235;4;1;1;1;5;1;5;3;3;4;3;1;3;4;29;19.0;satisfecho/a
11;115550;Femenino;Leal Cliente;33;Negocios Viaje;Business;325;2;5;5;5;1;3;4;2;2;2;2;3;2;4;18;7.0;neutral o insatisfecho/a
12;119987;Femenino;Leal Cliente;46;Negocios Viaje;Business;1009;5;5;5;5;4;5;5;5;5;5;5;5;5;3;0;0.0;satisfecho/a
13;42141;Femenino;Leal Cliente;60;Negocios Viaje;Business;451;1;1;4;1;5;5;4;5;5;5;5;3;5;5;117;113.0;satisfecho/a
14;2274;Femenino;Leal Cliente;52;Negocios Viaje;Business;925;2;2;2;2;5;5;4;4;4;4;4;3;4;5;10;0.0;satisfecho/a
15;22470;Masculino;Leal Cliente;50;Personal Viaje;Eco;83;3;4;0;3;2;0;2;2;4;2;4;4;5;2;5;2.0;neutral o insatisfecho/a
16;124915;Femenino;Leal Cliente;31;Negocios Viaje;Eco;728;2;5;5;5;2;2;2;2;4;3;3;4;3;2;2;0.0;neutral o insatisfecho/a
17;17836;Masculino;Leal Cliente;52;Personal Viaje;Eco Plus;1075;5;4;5;3;4;5;4;4;3;5;5;4;5;4;0;0.0;satisfecho/a
18;76872;Femenino;Leal Cliente;43;Personal Viaje;Eco;1927;3;4;3;1;4;4;5;5;5;3;5;4;5;3;0;0.0;neutral o insatisfecho/a
19;64287;Femenino;Leal Cliente;50;Negocios Viaje;Business;3799;5;5;5;5;4;5;4;4;4;5;4;5;4;5;8;0.0;satisfecho/a
20;63995;Masculino;Leal Cliente;60;Negocios Viaje;Business;612;4;4;4;4;2;4;5;5;5;5;5;5;5;5;21;49.0;satisfecho/a
21;75855;Masculino;Leal Cliente;43;Personal Viaje;Eco;1437;3;4;3;4;2;3;2;2;4;2;4;4;5;2;0;0.0;neutral o insatisfecho/a
22;106181;Masculino;Leal Cliente;55;Personal Viaje;Eco;302;1;2;4;3;4;4;4;4;1;3;2;4;3;4;0;0.0;neutral o insatisfecho/a
23;44304;Masculino;Leal Cliente;25;Negocios Viaje;Business;1428;4;4;4;4;4;4;4;4;1;5;3;1;5;4;0;0.0;satisfecho/a
24;82602;Femenino;Desleal Cliente;30;Negocios Viaje;Eco;528;4;3;5;3;2;5;2;2;3;2;3;4;4;2;0;0.0;neutral o insatisfecho/a
25;7823;Masculino;Leal Cliente;62;Personal Viaje;Eco;710;3;5;3;4;2;3;2;2;3;5;5;4;4;2;0;0.0;neutral o insatisfecho/a
26;127781;Masculino;Leal Cliente;24;Negocios Viaje;Business;3680;4;1;4;4;2;2;2;2;5;5;5;5;4;2;0;0.0;satisfecho/a
27;34501;Femenino;Leal Cliente;22;Negocios Viaje;Eco;1521;4;1;1;1;4;4;4;4;1;4;1;1;5;4;3;13.0;satisfecho/a
28;121658;Masculino;Leal Cliente;44;Negocios Viaje;Business;1543;3;5;3;3;5;4;5;5;5;5;5;5;5;5;0;0.0;satisfecho/a
29;20219;Masculino;Leal Cliente;51;Negocios Viaje;Eco;235;4;3;3;3;4;4;4;4;3;2;3;3;4;4;0;0.0;neutral o insatisfecho/a
30;67551;Masculino;Leal Cliente;43;Personal Viaje;Business;1235;1;5;1;1;1;1;4;3;3;1;5;4;3;5;0;0.0;neutral o insatisfecho/a
31;48994;Femenino;Leal Cliente;56;Negocios Viaje;Eco;308;2;3;3;3;5;2;5;2;2;2;2;2;2;2;0;0.0;satisfecho/a
32;70811;Masculino;Desleal Cliente;41;Negocios Viaje;Eco;624;2;3;2;4;5;2;5;5;4;3;3;1;4;5;0;0.0;neutral o insatisfecho/a
33;75241;Masculino;Leal Cliente;22;Personal Viaje;Eco;1846;4;5;4;4;5;4;5;5;5;4;4;4;4;5;40;68.0;neutral o insatisfecho/a
34;12312;Femenino;Leal Cliente;53;Negocios Viaje;Eco;192;5;2;2;2;3;4;2;5;5;5;5;2;5;4;0;1.0;satisfecho/a
35;48372;Masculino;Leal Cliente;12;Personal Viaje;Eco;674;3;4;3;1;1;3;1;1;3;3;5;4;4;1;80;70.0;neutral o insatisfecho/a
36;51477;Femenino;Leal Cliente;39;Negocios Viaje;Business;370;3;3;3;3;2;4;5;4;4;4;4;4;4;5;10;12.0;satisfecho/a
37;84204;Femenino;Leal Cliente;55;Negocios Viaje;Business;3169;1;1;1;1;3;5;4;5;5;5;5;3;5;5;73;68.0;satisfecho/a
38;70990;Femenino;Desleal Cliente;32;Negocios Viaje;Business;802;4;4;4;2;2;4;4;2;4;2;4;3;5;2;0;10.0;neutral o insatisfecho/a
39;101991;Femenino;Leal Cliente;40;Personal Viaje;Eco;628;1;4;1;3;5;1;5;5;3;2;5;5;4;5;4;0.0;neutral o insatisfecho/a
40;87447;Femenino;Desleal Cliente;42;Negocios Viaje;Business;373;3;3;3;5;4;3;4;4;3;2;5;5;5;4;0;0.0;neutral o insatisfecho/a
41;16112;Masculino;Desleal Cliente;24;Negocios Viaje;Eco;725;4;4;4;2;2;4;2;2;4;2;3;1;5;2;0;4.0;satisfecho/a
42;16172;Masculino;Leal Cliente;22;Negocios Viaje;Business;277;3;3;3;3;3;3;3;1;5;4;3;3;2;3;116;177.0;neutral o insatisfecho/a
43;106558;Femenino;Leal Cliente;28;Negocios Viaje;Business;1024;1;1;1;1;4;4;4;4;5;3;5;5;4;4;0;3.0;satisfecho/a
44;11536;Femenino;Leal Cliente;36;Negocios Viaje;Eco Plus;267;2;3;3;3;2;2;2;2;1;1;3;4;4;2;59;55.0;neutral o insatisfecho/a
45;47773;Femenino;Leal Cliente;62;Negocios Viaje;Eco;550;5;1;1;1;4;2;1;5;5;5;5;5;5;2;92;90.0;satisfecho/a
46;70521;Femenino;Leal Cliente;60;Negocios Viaje;Business;1889;2;2;3;2;3;5;4;5;5;5;5;5;5;3;0;0.0;satisfecho/a
47;96283;Femenino;Leal Cliente;59;Personal Viaje;Eco;460;2;5;2;5;3;3;4;5;5;2;4;1;5;2;4;2.0;neutral o insatisfecho/a
48;117993;Femenino;Leal Cliente;49;Negocios Viaje;Business;3295;4;4;3;4;2;5;4;5;5;5;5;5;5;3;0;4.0;satisfecho/a
49;74703;Femenino;Leal Cliente;44;Personal Viaje;Eco;1205;2;4;2;3;4;4;3;4;4;2;4;2;4;2;0;0.0;neutral o insatisfecho/a
50;110840;Femenino;Leal Cliente;58;Personal Viaje;Eco Plus;990;3;5;2;3;3;4;5;1;1;2;1;5;1;3;0;0.0;neutral o insatisfecho/a
51;88249;Masculino;Desleal Cliente;24;Negocios Viaje;Business;444;4;0;4;2;2;4;2;2;5;3;5;3;5;2;20;32.0;satisfecho/a
52;125877;Femenino;Leal Cliente;53;Negocios Viaje;Eco;520;4;2;2;2;3;3;4;4;4;4;4;3;4;3;17;0.0;satisfecho/a
53;83968;Masculino;Leal Cliente;56;Negocios Viaje;Eco;321;2;3;4;3;2;2;2;2;2;5;3;3;3;2;0;0.0;neutral o insatisfecho/a
54;122719;Femenino;Leal Cliente;30;Negocios Viaje;Business;651;3;3;4;3;5;5;5;5;4;5;4;3;5;5;0;0.0;satisfecho/a
55;3949;Masculino;Desleal Cliente;27;Negocios Viaje;Business;764;3;3;3;2;2;3;2;2;2;1;3;3;2;2;30;46.0;neutral o insatisfecho/a
56;45542;Masculino;Leal Cliente;27;Negocios Viaje;Business;566;3;3;3;3;5;5;5;5;4;3;1;1;1;5;0;0.0;satisfecho/a
57;43742;Femenino;Leal Cliente;67;Personal Viaje;Eco;626;3;4;3;1;2;4;5;3;3;3;3;3;3;5;0;0.0;neutral o insatisfecho/a
58;122093;Femenino;Leal Cliente;32;Personal Viaje;Eco;130;3;0;3;3;4;3;5;4;2;2;4;5;3;4;3;4.0;neutral o insatisfecho/a
59;121454;Masculino;Desleal Cliente;36;Negocios Viaje;Eco;331;2;0;2;1;1;2;1;1;4;3;4;1;3;1;0;0.0;neutral o insatisfecho/a
60;738;Masculino;Leal Cliente;44;Negocios Viaje;Business;158;3;3;3;3;5;4;5;4;4;5;4;4;4;5;66;57.0;satisfecho/a
61;75235;Femenino;Leal Cliente;70;Personal Viaje;Eco;1829;1;4;1;1;2;5;5;5;5;1;5;4;5;3;0;0.0;neutral o insatisfecho/a
62;88653;Femenino;Leal Cliente;55;Personal Viaje;Eco;646;3;2;3;4;4;3;4;5;5;3;5;4;5;3;0;3.0;neutral o insatisfecho/a
63;26594;Masculino;Leal Cliente;66;Negocios Viaje;Eco;404;4;1;1;1;4;4;4;4;3;1;3;2;5;4;9;6.0;satisfecho/a
64;38339;Femenino;Leal Cliente;19;Negocios Viaje;Business;2738;5;5;5;5;3;4;3;3;5;3;3;1;2;3;0;0.0;satisfecho/a
65;46063;Femenino;Leal Cliente;53;Personal Viaje;Eco Plus;964;1;5;1;2;4;4;5;4;4;1;4;5;4;4;6;0.0;neutral o insatisfecho/a
66;27957;Masculino;Leal Cliente;22;Negocios Viaje;Business;1660;2;2;2;2;2;2;2;2;4;3;2;2;4;2;0;0.0;neutral o insatisfecho/a
67;17270;Femenino;Leal Cliente;69;Personal Viaje;Eco;872;2;3;2;2;4;2;3;5;5;2;5;3;5;3;14;0.0;neutral o insatisfecho/a
68;87976;Femenino;Leal Cliente;42;Negocios Viaje;Business;1898;5;5;5;5;5;4;4;5;5;5;5;4;5;3;49;47.0;satisfecho/a
69;31640;Femenino;Leal Cliente;41;Negocios Viaje;Business;967;2;2;2;2;2;3;5;4;4;4;4;5;4;5;44;40.0;satisfecho/a
70;41461;Femenino;Leal Cliente;53;Personal Viaje;Business;1242;3;4;3;5;3;3;5;1;1;3;1;4;1;4;3;0.0;neutral o insatisfecho/a
71;15143;Masculino;Leal Cliente;35;Negocios Viaje;Business;1042;3;2;2;2;2;4;3;3;3;3;3;3;3;2;0;0.0;neutral o insatisfecho/a
72;78136;Femenino;Leal Cliente;54;Personal Viaje;Business;153;3;5;3;5;2;4;5;2;2;3;2;4;2;5;0;0.0;neutral o insatisfecho/a
73;120433;Masculino;Leal Cliente;44;Negocios Viaje;Business;366;3;3;2;3;2;5;4;4;4;4;4;3;4;4;5;24.0;satisfecho/a
74;41440;Femenino;Desleal Cliente;26;Negocios Viaje;Eco Plus;913;1;2;2;2;4;2;3;4;3;2;1;1;4;4;0;0.0;neutral o insatisfecho/a
75;15963;Femenino;Leal Cliente;44;Personal Viaje;Eco;528;2;5;2;3;2;5;4;5;5;2;5;3;5;3;0;0.0;neutral o insatisfecho/a
76;64303;Femenino;Desleal Cliente;24;Negocios Viaje;Eco;1172;2;3;3;2;5;3;5;5;4;5;5;4;5;5;28;27.0;neutral o insatisfecho/a
77;3608;Femenino;Leal Cliente;54;Personal Viaje;Eco;999;2;4;2;4;4;5;5;5;5;2;5;5;5;4;0;0.0;neutral o insatisfecho/a
78;7744;Masculino;Leal Cliente;42;Negocios Viaje;Eco Plus;489;2;2;2;2;2;2;2;2;4;3;3;1;2;2;0;0.0;neutral o insatisfecho/a
79;21276;Masculino;Desleal Cliente;36;Negocios Viaje;Eco;692;1;1;1;4;1;1;1;1;1;5;3;1;2;1;0;0.0;neutral o insatisfecho/a
80;58576;Femenino;Leal Cliente;61;Negocios Viaje;Business;1585;2;2;3;2;1;1;5;3;3;4;3;4;3;4;24;20.0;satisfecho/a
81;53888;Femenino;Leal Cliente;50;Personal Viaje;Eco;140;2;4;2;4;4;4;5;2;2;2;2;3;2;5;0;0.0;neutral o insatisfecho/a
82;10980;Masculino;Leal Cliente;27;Negocios Viaje;Business;2729;3;3;3;3;5;5;5;5;4;4;4;5;2;5;44;52.0;satisfecho/a
83;54151;Masculino;Leal Cliente;55;Negocios Viaje;Business;1400;3;5;5;5;4;3;2;3;3;3;3;1;3;4;1;0.0;neutral o insatisfecho/a
84;115641;Masculino;Desleal Cliente;21;Negocios Viaje;Eco;447;2;2;1;4;1;1;1;1;4;4;3;4;3;1;7;0.0;neutral o insatisfecho/a
85;58584;Femenino;Leal Cliente;31;Personal Viaje;Business;334;2;1;2;4;5;2;5;5;2;4;3;2;4;5;5;0.0;neutral o insatisfecho/a
86;50472;Femenino;Desleal Cliente;37;Negocios Viaje;Eco;158;1;2;1;3;1;1;1;1;1;4;3;4;3;1;24;20.0;neutral o insatisfecho/a
87;102623;Femenino;Leal Cliente;50;Negocios Viaje;Business;3696;1;1;5;1;2;4;4;5;5;5;5;4;5;5;9;0.0;satisfecho/a
88;31533;Femenino;Leal Cliente;21;Personal Viaje;Eco;846;1;4;1;3;3;1;3;3;5;4;5;4;5;3;9;17.0;neutral o insatisfecho/a
89;42287;Femenino;Leal Cliente;53;Negocios Viaje;Eco;329;1;0;0;3;1;3;3;4;4;1;4;4;4;1;0;0.0;neutral o insatisfecho/a
90;70467;Masculino;Leal Cliente;45;Negocios Viaje;Business;2580;3;3;3;3;3;4;4;5;5;5;5;3;5;4;0;11.0;satisfecho/a
91;20461;Femenino;Desleal Cliente;42;Negocios Viaje;Eco;84;3;5;3;1;5;3;5;5;5;5;3;5;4;5;0;34.0;neutral o insatisfecho/a
92;113346;Masculino;Leal Cliente;59;Negocios Viaje;Business;3358;3;3;3;3;3;5;4;4;4;4;4;4;4;3;0;0.0;satisfecho/a
93;115566;Femenino;Leal Cliente;54;Negocios Viaje;Eco;308;2;1;4;4;5;3;3;2;2;2;2;4;2;1;83;95.0;neutral o insatisfecho/a
94;119896;Femenino;Leal Cliente;46;Negocios Viaje;Business;912;1;1;1;1;2;4;4;4;4;4;4;5;4;4;5;0.0;satisfecho/a
95;88853;Femenino;Leal Cliente;52;Personal Viaje;Eco Plus;406;3;4;3;1;2;5;4;2;2;3;2;3;2;4;0;0.0;neutral o insatisfecho/a
96;24895;Femenino;Leal Cliente;38;Personal Viaje;Eco;397;2;5;2;2;5;2;5;5;5;4;4;5;5;5;0;0.0;neutral o insatisfecho/a
97;31122;Masculino;Leal Cliente;35;Negocios Viaje;Business;2409;3;3;3;3;1;4;3;4;4;4;4;3;4;3;0;0.0;satisfecho/a
98;91231;Femenino;Leal Cliente;41;Personal Viaje;Eco;545;2;2;2;3;4;2;4;4;1;3;4;1;4;4;0;0.0;neutral o insatisfecho/a
99;61426;Femenino;Desleal Cliente;40;Negocios Viaje;Business;2419;2;2;2;3;4;2;4;4;3;2;3;3;5;4;0;0.0;neutral o insatisfecho/a
