id_Siniestro;Importe pagado ;Estado;Fecha Siniestro;Mes;Año;Unidad de Negocio;Id_PAS;Localidad de Ocurrencia;CP;Provincia;Marca;Modelo;Versión;Año;Suma Asegurada
153;185000;CERRADO;2/7/2022;Julio;2022;Buenos Aires;126;GRAND BOURG;1615;Buenos Aires;GUERRERO;ENDURO;150 GXL TUNDRA;2017;185000
735;215000;CERRADO;23/9/2022;Septiembre;2022;Buenos Aires;438;VILLA MAIPU;1650;Buenos Aires;MOTOMEL;STREET;150 S2 BASE DISCO;2022;215000
576;84000;CERRADO;31/8/2022;Agosto;2022;USE;11;MORENO;1740;Buenos Aires;ZANELLA;CUB;ZB 110 G4 ARRANQUE ELECTRICO;2013;84000
1727;344500;CERRADO;13/1/2023;Enero;2023;Buenos Aires;45;C.A.B.A.;1000;C.A. de Buenos Aires;YAMAHA;STREET;125 YBR ED;2014;344500
1683;248000;CERRADO;8/1/2023;Enero;2023;USE;11;RAMOS MEJIA;1704;Buenos Aires;ZANELLA;CUB;ZB 110 Z1 BASE;2022;248000
598;194500;CERRADO;4/9/2022;Septiembre;2022;Buenos Aires;379;CASTELAR;1712;Buenos Aires;CORVEN;CUB;MIRAGE  110 RT;2019;194500
1627;309000;CERRADO;2/1/2023;Enero;2023;Buenos Aires;145;VIRREY DEL PINO;1763;Buenos Aires;SUZUKI;STREET;EN   125 2A;2013;309000
3296;195500;CERRADO;31/5/2023;Mayo;2023;Parana;651;SANTA FE;3000;Santa Fe;MOTOMEL;BUSINESS;110 BLITZ AUTOMATICA;2018;195500
3350;1274000;CERRADO;5/6/2023;Junio;2023;Buenos Aires;1053;MORON 3301-5200;1407;C.A. de Buenos Aires;YAMAHA;ENDURO;250 XTZ;2012;1274000
3834;304500;CERRADO;16/7/2023;Julio;2023;Buenos Aires;525;CAPITAL FEDERAL;1423;C.A. de Buenos Aires;CORVEN;STREET;ENERGY  125;2022;304500
3166;687500;CERRADO;18/5/2023;Mayo;2023;Buenos Aires;1188;CIUDADELA;1702;Buenos Aires;HONDA;ON OFF;XR  150 L;2017;687500
1058;317000;CERRADO;7/11/2022;Noviembre;2022;Buenos Aires;555;MORENO;1740;Buenos Aires;CORVEN;ENDURO;TRIAX   150 R3;2019;317000
21;74000;CERRADO;5/6/2022;Junio;2022;La Plata;21;LA PLATA ESTAFETA No.1;1900;Buenos Aires;ZANELLA;CUB;ZB 110 D RAYOS;2017;74000
3497;705000;CERRADO;18/6/2023;Junio;2023;Buenos Aires;1255;C.A.B.A.;1000;C.A. de Buenos Aires;BAJAJ;STREET;ROUSER  160 NS;2021;705000
212;138000;CERRADO;12/7/2022;Julio;2022;Agencia Virtual;70;NEUQUEN;8300;Neuquen;ZANELLA;CUB;ZB 110 RT NEW;2019;138000
654;218500;CERRADO;13/9/2022;Septiembre;2022;USE;11;PORTELA 1-1900;1406;C.A. de Buenos Aires;MOTOMEL;BUSINESS;110 BLITZ AUTOMATICA;2021;218500
521;357194;CERRADO;24/8/2022;Agosto;2022;Buenos Aires;340;MIRANDA 5801-6200;1406;C.A. de Buenos Aires;KYMCO;SCOOTER;AGILITY 125;2022;357194
366;136000;CERRADO;4/8/2022;Agosto;2022;USE;11;SAN FERNANDO;1646;Buenos Aires;MONDIAL;CUB;110 LD H C/D MAX;2020;136000
1233;1160000;CERRADO;26/11/2022;Noviembre;2022;USE;11;EL PALOMAR;1684;Buenos Aires;YAMAHA;STREET;250 FZ 25;2018;1160000
736;297500;CERRADO;23/9/2022;Septiembre;2022;La Plata;439;GERLI (PDO. LANUS);1824;Buenos Aires;HONDA;BUSINESS;C BIZ 125 KS;2015;297500
196;121371;CERRADO;8/7/2022;Julio;2022;Rosario;157;ROSARIO;2000;Santa Fe;MOTOMEL;BUSINESS;110 BLITZ BASE V8;2021;121371
206;211000;CERRADO;11/7/2022;Julio;2022;Parana;165;SANTA FE;3000;Santa Fe;HONDA;BUSINESS;WAVE  110S NEW BASE;2019;211000
522;210500;CERRADO;24/8/2022;Agosto;2022;Cordoba;341;CORDOBA;5000;Cordoba;CORVEN;ENDURO;TRIAX   150 R3;2015;210500
27;365000;CERRADO;6/6/2022;Junio;2022;Buenos Aires;27;MARCOS PAZ;1727;Buenos Aires;HONDA;BUSINESS;CG    150 NEW;2017;365000
1079;396000;CERRADO;9/11/2022;Noviembre;2022;Buenos Aires;580;QUILMES;1878;Buenos Aires;HONDA;ON OFF;XR  125 L;2013;396000
86;82000;CERRADO;17/6/2022;Junio;2022;Mar del Plata;73;MAR DEL PLATA ESTAFETA No.15;7600;Buenos Aires;GILERA;CUB;110 SMASH VS;2017;82000
3637;1521500;CERRADO;30/6/2023;Junio;2023;La Plata;1284;LA PLATA;1900;Buenos Aires;BAJAJ;STREET;DOMINAR 400 NEW 2019;2020;1521500
425;126910;CERRADO;12/8/2022;Agosto;2022;La Plata;82;LA PLATA;1900;Buenos Aires;MONDIAL;CUB;110 LD S;2018;126910
1009;95000;CERRADO;30/10/2022;Octubre;2022;Buenos Aires;105;MONTE CHINGOLO;1825;Buenos Aires;MAVERICK;BUSINESS;110 FOX;2012;95000
419;242500;CERRADO;11/8/2022;Agosto;2022;La Plata;291;LA PLATA;1900;Buenos Aires;HONDA;BUSINESS;WAVE  110S NEW BASE;2018;242500
2810;1177000;CERRADO;17/4/2023;Abril;2023;Buenos Aires;1072;C.A.B.A.;1000;C.A. de Buenos Aires;HONDA;ON OFF;XR  250  TORNADO;2015;1177000
4029;1198500;CERRADO;29/7/2023;Julio;2023;Buenos Aires;105;C.A.B.A.;1000;C.A. de Buenos Aires;HONDA;ON OFF;XR  250  TORNADO;2014;1198500
3879;1047000;CERRADO;19/7/2023;Julio;2023;Mendoza;981;RIOBAMBA 1-800;1025;C.A. de Buenos Aires;BAJAJ;STREET;ROUSER  200 NS;2017;1047000
4114;648000;CERRADO;4/8/2023;Agosto;2023;USE;11;AMBATO 4001-4100;1228;C.A. de Buenos Aires;HONDA;BUSINESS;CB    125 TWISTER;2022;648000
1503;1099000;CERRADO;22/12/2022;Diciembre;2022;Buenos Aires;26;ALVAREZ JONTE AVDA. 3301-5800;1407;C.A. de Buenos Aires;KTM;TOURING;DUKE 200 NAKED;2021;1099000
3753;795000;CERRADO;10/7/2023;Julio;2023;Buenos Aires;520;ACASSUSO 5101-7300;1408;C.A. de Buenos Aires;HONDA;SPORT;CB  190R;2017;795000
4270;3239000;CERRADO;15/8/2023;Agosto;2023;Buenos Aires;1422;BAHIA BLANCA 2101-3400;1417;C.A. de Buenos Aires;BAJAJ;STREET;DOMINAR 400 TOURER;2023;3239000
2778;663500;CERRADO;14/4/2023;Abril;2023;USE;11;VILLA DEVOTO;1419;Buenos Aires;BAJAJ;STREET;ROUSER  200 NS;2016;663500
1434;3178000;CERRADO;18/12/2022;Diciembre;2022;Buenos Aires;26;PACHECO 1801-3600;1431;C.A. de Buenos Aires;CF MOTO;TOURING;MT 650;2022;3178000
2961;651500;CERRADO;29/4/2023;Abril;2023;USE;11;SANTANDER 4601-7000;1439;C.A. de Buenos Aires;YAMAHA;TURISMO;150 FZ FI S;2016;651500
1717;3351000;CERRADO;12/1/2023;Enero;2023;Buenos Aires;26;OLIVOS;1636;Buenos Aires;KTM;TOURING;ADVENTURE 390;2022;3351000
3351;352000;CERRADO;5/6/2023;Junio;2023;Buenos Aires;919;JOSE C. PAZ;1665;Buenos Aires;GILERA;TURISMO;150 VC;2020;352000
3819;1650000;CERRADO;15/7/2023;Julio;2023;Buenos Aires;1332;SAENZ PEÑA;1674;Buenos Aires;BAJAJ;STREET;DOMINAR 250;2022;1650000
1700;401000;CERRADO;11/1/2023;Enero;2023;Buenos Aires;130;MORENO;1740;Buenos Aires;YAMAHA;TURISMO;160 FZ 16;2013;401000
3878;539000;CERRADO;19/7/2023;Julio;2023;Buenos Aires;1232;VILLA INSUPERABLE;1752;Buenos Aires;GILERA;BUSINESS;125 SMASH X;2021;539000
4214;152000;CERRADO;11/8/2023;Agosto;2023;Buenos Aires;388;LOMAS DEL MIRADOR;1752;Buenos Aires;ZANELLA;STREET;HJ     125;2013;152000
2241;300000;CERRADO;28/2/2023;Febrero;2023;Buenos Aires;327;LAFERRERE;1757;Buenos Aires;MONDIAL;STREET;150 RD H RT;2020;300000
